id,name,code,country_code
1,Acre,AC,BRA
2,Alagoas,AL,BRA
3,Amapá,AP,BRA
4,Amazonas,AM,BRA
5,Bahia,BA,BRA
6,Ceará,CE,BRA
7,Distrito Federal,DF,BRA
8,Espírito Santo,ES,BRA
9,Goiás,GO,BRA
10,Maranhão,MA,BRA
11,Mato Grosso,MT,BRA
12,Mato Grosso do Sul,MS,BRA
13,Minas Gerais,MG,BRA
14,Pará,PA,BRA
15,Paraíba,PB,BRA
16,Paraná,PR,BRA
17,Pernambuco,PE,BRA
18,Piauí,PI,BRA
19,Rio de Janeiro,RJ,BRA
20,Rio Grande do Norte,RN,BRA
21,Rio Grande do Sul,RS,BRA
22,Rondônia,RO,BRA
23,Roraima,RR,BRA
24,Santa Catarina,SC,BRA
25,São Paulo,SP,BRA
26,Sergipe,SE,BRA
27,Tocantins,TO,BRA
