id,name,code,phone_code
1,Afghanistan,AFG,93
2,Albania,ALB,355
3,Algeria,DZA,213
4,American Samoa,ASM,null
5,Andorra,AND,376
6,Angola,AGO,244
7,Anguilla,AIA,null
8,Antarctica,ATA,672
9,Antigua and Barbuda,ATG,null
10,Argentina,ARG,54
11,Armenia,ARM,374
12,Aruba,ABW,297
13,Australia,AUS,61
14,Austria,AUT,43
15,Azerbaijan,AZE,994
16,Bahamas,BHS,null
17,Bahrain,BHR,973
18,Bangladesh,BGD,880
19,Barbados,BRB,null
20,Belarus,BLR,375
21,Belgium,BEL,32
22,Belize,BLZ,501
23,Benin,BEN,229
24,Bermuda,BMU,null
25,Bhutan,BTN,975
26,Bolivia,BOL,591
27,Bosnia and Herzegovina,BIH,387
28,Botswana,BWA,267
29,Brazil,BRA,55
30,British Indian Ocean Territory,IOT,246
31,British Virgin Islands,VGB,null
32,Brunei,BRN,673
33,Bulgaria,BGR,359
34,Burkina Faso,BFA,226
35,Burundi,BDI,257
36,Cambodia,KHM,855
37,Cameroon,CMR,237
38,Canada,CAN,1
39,Cape Verde,CPV,238
40,Cayman Islands,CYM,null
41,Central African Republic,CAF,236
42,Chad,TCD,235
43,Chile,CHL,56
44,China,CHN,86
45,Christmas Island,CXR,61
46,Cocos Islands,CCK,61
47,Colombia,COL,57
48,Comoros,COM,269
49,Cook Islands,COK,682
50,Costa Rica,CRI,506
51,Croatia,HRV,385
52,Cuba,CUB,53
53,Curacao,CUW,599
54,Cyprus,CYP,357
55,Czech Republic,CZE,420
56,Democratic Republic of the Congo,COD,243
57,Denmark,DNK,45
58,Djibouti,DJI,253
59,Dominica,DMA,null
60,Dominican Republic,DOM,
61,East Timor,TLS,670
62,Ecuador,ECU,593
63,Egypt,EGY,20
64,El Salvador,SLV,503
65,Equatorial Guinea,GNQ,240
66,Eritrea,ERI,291
67,Estonia,EST,372
68,Ethiopia,ETH,251
69,Falkland Islands,FLK,500
70,Faroe Islands,FRO,298
71,Fiji,FJI,679
72,Finland,FIN,358
73,France,FRA,33
